hole,tee_lat,tee_lon,green_front_lat,green_front_lon,green_center_lat,green_center_lon,green_back_lat,green_back_lon
1,32.984787,-96.687664,32.982125,-96.68786,32.98195,-96.687841,32.981759,-96.687841
2,32.981465,-96.687702,32.97992,-96.690162,32.979907,-96.69024,32.979875,-96.690365
3,32.979765,-96.691033,32.982958,-96.690679,32.983117,-96.690741,32.983252,-96.690784
4,32.983385,-96.691247,32.9846,-96.691661,32.984771,-96.691685,32.984902,-96.691696
5,32.984519,-96.690494,32.980814,-96.689629,32.980712,-96.689702,32.980603,-96.689761
6,32.979637,-96.691087,32.979151,-96.688185,32.979202,-96.688005,32.979239,-96.687879
7,32.978642,-96.687447,32.981214,-96.68737,32.981335,-96.687316,32.981425,-96.687271
8,32.982332,-96.687125,32.981391,-96.686581,32.981248,-96.686506,32.981135,-96.686428
9,32.981605,-96.685611,32.98446,-96.686385,32.984616,-96.686342,32.984735,-96.6863
10,32.984818,-96.685889,32.982149,-96.685452,32.981994,-96.685457,32.981835,-96.685454
11,32.982935,-96.685342,32.979935,-96.684533,32.979819,-96.684446,32.979731,-96.684382
12,32.979238,-96.685245,32.980726,-96.68532,32.980794,-96.685328,32.980861,-96.685333
13,32.98118,-96.685854,32.97912,-96.687077,32.978982,-96.687087,32.978839,-96.687097
14,32.978515,-96.687389,32.979045,-96.690674,32.979112,-96.690819,32.979166,-96.690945
15,32.980235,-96.69028,32.984525,-96.690985,32.984647,-96.691015,32.984737,-96.691029
16,32.984803,-96.690659,32.984224,-96.688991,32.984193,-96.688877,32.98418,-96.688768
17,32.983927,-96.688586,32.981623,-96.688514,32.981467,-96.688566,32.981303,-96.688616
18,32.981715,-96.687396,32.984757,-96.686881,32.98489,-96.686919,32.985022,-96.686925
